mask_type,loss,hole_loss_weight,relative_loss_weight,hole_l1_output,hole_mse_output,ssim_5,psnr
biased,l1,0.7,0.0,0.9219112992286682,34.22142521396288,0.9170945036557836,62.3866864059307
biased,relative,1.0,1e-07,0.9081202745437622,34.41517720409657,0.918227449202605,62.473037023635506
random,l1,3.0,0.0,0.9560432434082031,37.309267647122695,0.9183322575353002,62.510965122204375
random,relative,3.0,4e-07,0.9818813800811768,38.88763035550912,0.9194336526283243,62.52272544076555
