mask_type,loss,hole_loss_weight,relative_loss_weight,hole_l1_output,hole_mse_output,ssim_5,psnr
biased,l1,3,0.0,1.4898948669433594,60.80533477361484,0.90703717698138,57.27870313337509
biased,relative,3,7e-07,1.4333831071853638,58.07647069036327,0.911423134605815,57.63994035935202
random,l1,3,0.0,1.5467075109481812,66.02733206747392,0.9083418525788463,57.26609263266357
random,relative,3,7e-07,1.5037791728973389,62.00654776570732,0.9113980620260377,57.57216498580867
