mask_type,loss,hole_loss_weight,relative_loss_weight,hole_l1_output,hole_mse_output,ssim_5,psnr
biased,l1,3,0.0,0.9577319025993347,38.973823275785676,0.9120344284370947,61.86751707361392
biased,relative,3,1e-07,0.9293560981750488,37.459536541630705,0.9157346691633896,62.15701177608741
random,l1,3,0.0,1.001914620399475,41.720634191025034,0.9156246467756598,62.17920093513517
random,relative,2,1e-06,1.0116019248962402,43.03673179841343,0.9160039838121632,61.90734863842441
