mask_type,loss,hole_loss_weight,relative_loss_weight,hole_l1_output,hole_mse_output,ssim_5,psnr
biased,l1,0.7,0.0,1.382695198059082,50.55415574917521,0.9112245422538504,58.10311640460341
biased,relative,1.0,1e-07,1.3677656650543213,50.89889890181176,0.913208562603615,58.209689169228426
random,l1,3.0,0.0,1.424086570739746,54.17523559475747,0.9119308122821201,58.08146261286588
random,relative,3.0,4e-07,1.464490532875061,56.10677236164666,0.9137321902586185,58.02610559633015
