model,hole_l1_output,hole_mse_output,hole_count,hole_total_pred,hole_total_gt
biased_0_1,20.076794,1615.9258840563537,409.0,8720.797,14569.635
random_0_1,24.41808,2285.188033271649,409.0,5507.9976,14569.635
biased_0_2,19.193811,1479.382765596019,409.0,8777.218,14569.635
random_0_2,26.101334,2606.1379942477784,409.0,4551.2573,14569.635
biased_0_3,22.353373,1916.6175652889506,409.0,7022.445,14569.635
random_0_3,24.990627,2364.6476037,409.0,5247.4434,14569.635
biased_0_5,19.293201,1408.7489533062947,409.0,8158.5103,14564.215
random_0_5,17.915545,1343.6618437526593,409.0,8570.409,14564.215
biased_0_7,17.497463,1236.3994076270408,409.0,8926.417,14562.686
random_0_7,17.101097,1162.7920857535448,409.0,11667.55,14562.686
biased_0_10,17.552095,1270.2537548907726,409.0,9133.957,14564.215
random_0_10,20.289164,1595.5228254785327,409.0,8188.839,14564.215
biased_0_15,25.010416,2372.270225000809,409.0,5108.415,14562.081
random_0_15,17.13243,1083.442227021598,409.0,10966.2705,14562.081
